City,Max Irradiance (W/m2),Mean Irradiance (W/m2),PV Price (USD/kW),BESS Price (USD/kWh),BESS Size (kWh),Fuel Price,Load Shedding (%),Renewable Rate (%),LCOE (USD/kWh)
"Istanbul,Turkey",1.09771,0.1918328401826484,0,0,0,1.5,0.0,0.0,0.663
"Istanbul,Turkey",1.09771,0.1918328401826484,0,0,0,2.0,0.0,0.0,0.783
"Istanbul,Turkey",1.09771,0.1918328401826484,0,0,0,2.5,0.0,0.0,0.903
"Paris,France",1.09725,0.16538369063926942,0,0,0,1.5,0.0,0.0,0.663
"Paris,France",1.09725,0.16538369063926942,0,0,0,2.0,0.0,0.0,0.783
"Paris,France",1.09725,0.16538369063926942,0,0,0,2.5,0.0,0.0,0.903
"London,United Kingdom",1.08138,0.1453411392694064,0,0,0,1.5,0.0,0.0,0.663
"London,United Kingdom",1.08138,0.1453411392694064,0,0,0,2.0,0.0,0.0,0.783
"London,United Kingdom",1.08138,0.1453411392694064,0,0,0,2.5,0.0,0.0,0.903
"Madrid,Spain",1.16729,0.24717574999999997,0,0,0,1.5,0.0,0.0,0.663
"Madrid,Spain",1.16729,0.24717574999999997,0,0,0,2.0,0.0,0.0,0.783
"Madrid,Spain",1.16729,0.24717574999999997,0,0,0,2.5,0.0,0.0,0.903
"Barcelona,Spain",1.09903,0.2364627739726028,0,0,0,1.5,0.0,0.0,0.663
"Barcelona,Spain",1.09903,0.2364627739726028,0,0,0,2.0,0.0,0.0,0.783
"Barcelona,Spain",1.09903,0.2364627739726028,0,0,0,2.5,0.0,0.0,0.903
"Rome,Italy",1.11173,0.2169866301369863,0,0,0,1.5,0.0,0.0,0.663
"Rome,Italy",1.11173,0.2169866301369863,0,0,0,2.0,0.0,0.0,0.783
"Rome,Italy",1.11173,0.2169866301369863,0,0,0,2.5,0.0,0.0,0.903
"Berlin,Germany",1.10537,0.14875507648401826,0,0,0,1.5,0.0,0.0,0.663
"Berlin,Germany",1.10537,0.14875507648401826,0,0,0,2.0,0.0,0.0,0.783
"Berlin,Germany",1.10537,0.14875507648401826,0,0,0,2.5,0.0,0.0,0.903
"Milan,Italy",1.1165399999999999,0.20902294292237442,0,0,0,1.5,0.0,0.0,0.663
"Milan,Italy",1.1165399999999999,0.20902294292237442,0,0,0,2.0,0.0,0.0,0.783
"Milan,Italy",1.1165399999999999,0.20902294292237442,0,0,0,2.5,0.0,0.0,0.903
"Athens,Greece",1.1243699999999999,0.2326581803652968,0,0,0,1.5,0.0,0.0,0.663
"Athens,Greece",1.1243699999999999,0.2326581803652968,0,0,0,2.0,0.0,0.0,0.783
"Athens,Greece",1.1243699999999999,0.2326581803652968,0,0,0,2.5,0.0,0.0,0.903
"Lisbon,Portugal",1.10147,0.23586138242009136,0,0,0,1.5,0.0,0.0,0.663
"Lisbon,Portugal",1.10147,0.23586138242009136,0,0,0,2.0,0.0,0.0,0.783
"Lisbon,Portugal",1.10147,0.23586138242009136,0,0,0,2.5,0.0,0.0,0.903
"Kyiv,Ukraine",1.0971,0.15874781963470322,0,0,0,1.5,0.0,0.0,0.663
"Kyiv,Ukraine",1.0971,0.15874781963470322,0,0,0,2.0,0.0,0.0,0.783
"Kyiv,Ukraine",1.0971,0.15874781963470322,0,0,0,2.5,0.0,0.0,0.903
"Manchester,United Kingdom",1.07223,0.12739400342465754,0,0,0,1.5,0.0,0.0,0.663
"Manchester,United Kingdom",1.07223,0.12739400342465754,0,0,0,2.0,0.0,0.0,0.783
"Manchester,United Kingdom",1.07223,0.12739400342465754,0,0,0,2.5,0.0,0.0,0.903
"Birmingham,United Kingdom",1.08827,0.13828842694063925,0,0,0,1.5,0.0,0.0,0.663
"Birmingham,United Kingdom",1.08827,0.13828842694063925,0,0,0,2.0,0.0,0.0,0.783
"Birmingham,United Kingdom",1.08827,0.13828842694063925,0,0,0,2.5,0.0,0.0,0.903
"Naples,Italy",1.06424,0.21188321118721457,0,0,0,1.5,0.0,0.0,0.663
"Naples,Italy",1.06424,0.21188321118721457,0,0,0,2.0,0.0,0.0,0.783
